done,category,target,size,type,epoch,run_name
,residue,1,2169,alpha,1,esm-helix_13029278
,residue,2,2038,beta,1,esm-strand_13029277
,random_seq,random,2000,mixed,14,esm-cath-random-2000_12994551
,random_seq,random,1000,mixed,9,esm-cath-random-1000_12988614
,random_seq,random,200,mixed,14,esm-cath-random-200_12988611
,random_seq,random,100,mixed,14,esm-cath-random-100_12988612
,cath_class_code,1,2169,alpha,19,esm-cath-class-1_12943096
,cath_class_code,2,2038,beta,19,esm-cath-class-2_12943125
,cath_class_code,3,3129,mixed,4,esm-cath-class-3_12993217
,cath_architecture_code,1.10,1247,alpha,9,esm-cath-arch-1.10_12971702
,cath_architecture_code,1.25,182,alpha,9,esm-cath-arch-1.25_12971778
,cath_architecture_code,1.20,693,alpha,14,esm-cath-arch-1.20_12971756
,cath_architecture_code,2.30,251,beta,19,esm-cath-arch-2.30_12971784
,cath_architecture_code,2.40,447,beta,14,esm-cath-arch-2.40_12971790
,cath_architecture_code,2.60,896,beta,9,esm-cath-arch-2.60_12971794
,cath_architecture_code,3.30,1396,mixed,9,esm-cath-arch-3.30_12971796
,cath_architecture_code,3.40,1797,mixed,9,esm-cath-arch-3.40_12971797
,cath_architecture_code,3.90,469,mixed,9,esm-cath-arch-3.90_12971799
,cath_topology_code,1.10.10,192,alpha,19,esm-cath-topo-1.10.10_12953685
x,cath_topology_code,1.10.287,111,alpha,19,esm-cath-topo-1.10.287_12953706
,cath_topology_code,1.20.58,135,alpha,19,esm-cath-topo-1.20.58_12953710
,cath_topology_code,1.20.120,118,alpha,19,esm-cath-topo-1.20.120_12953713
,cath_topology_code,1.25.40,142,alpha,14,esm-cath-topo-1.25.40_12953716
,cath_topology_code,2.40.50,136,beta,14,esm-cath-topo-2.40.50_12953717
,cath_topology_code,2.60.40,512,beta,9,esm-cath-topo-2.60.40_12953719
,cath_topology_code,2.60.120,276,beta,9,esm-cath-topo-2.60.120_12953723
,cath_topology_code,3.30.70,282,mixed,14,esm-cath-topo-3.30.70_12953728
,cath_topology_code,3.40.50,1110,mixed,9,esm-cath-topo-3.40.50_12970641
,cath_homologous_superfamily_code,3.40.50.300,168,mixed,9,esm-cath-hsuperfam-3.40.50.300_12949126
,cath_homologous_superfamily_code,2.60.40.10,160,beta,14,esm-cath-hsuperfam-2.60.40.10_12953595
,cath_homologous_superfamily_code,3.40.50.720,117,mixed,14,esm-cath-hsuperfam-3.40.50.720_12949095
,cath_homologous_superfamily_code,1.10.10.10,102,alpha,14,esm-cath-hsuperfam-1.10.10.10_12943731
,cath_homologous_superfamily_code,3.20.20.80,88,mixed,9,esm-cath-hsuperfam-3.20.20.80_12943787
,cath_homologous_superfamily_code,3.40.190.10,81,mixed,14,esm-cath-hsuperfam-3.40.190.10_12949029
,cath_homologous_superfamily_code,3.40.50.150,77,mixed,19,esm-cath-hsuperfam-3.40.50.150_12943802
,cath_homologous_superfamily_code,3.40.50.1820,75,mixed,14,esm-cath-hsuperfam-3.40.50.1820_12949049
,cath_homologous_superfamily_code,2.40.50.140,68,beta,39,esm-cath-hsuperfam-2.40.50.140_12943755
,cath_homologous_superfamily_code,3.40.30.10,67,mixed,19,esm-cath-hsuperfam-3.40.30.10_12943788
