run_name,epoch,category,target,checkpoint_path,global_step,sparsity
esm-helix_13029278,1,residue,1,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-helix_13029278/checkpoints/regular_checkpoints/epoch=01.ckpt,196,0.895928680896759
esm-strand_13029277,1,residue,2,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-strand_13029277/checkpoints/regular_checkpoints/epoch=01.ckpt,196,0.8902739882469177
esm-cath-random-2000_12994551,14,random_seq,random,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-random-2000_12994551/checkpoints/regular_checkpoints/epoch=14.ckpt,1875,2.1714682579040527
esm-cath-random-1000_12988614,9,random_seq,random,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-random-1000_12988614/checkpoints/regular_checkpoints/epoch=09.ckpt,630,1.3681328296661377
esm-cath-random-200_12988611,14,random_seq,random,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-random-200_12988611/checkpoints/regular_checkpoints/epoch=14.ckpt,195,1.210999846458435
esm-cath-random-100_12988612,14,random_seq,random,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-random-100_12988612/checkpoints/regular_checkpoints/epoch=14.ckpt,105,1.168050765991211
esm-cath-class-1_12943096,19,cath_class_code,1,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-class-1_12943096/checkpoints/regular_checkpoints/epoch=19.ckpt,1920,2.131298542022705
esm-cath-class-2_12943125,19,cath_class_code,2,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-class-2_12943125/checkpoints/regular_checkpoints/epoch=19.ckpt,1800,2.0616707801818848
esm-cath-class-3_12993217,4,cath_class_code,3,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-class-3_12993217/checkpoints/regular_checkpoints/epoch=04.ckpt,1955,2.53459095954895
esm-cath-arch-1.10_12971702,9,cath_architecture_code,1.10,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-arch-1.10_12971702/checkpoints/regular_checkpoints/epoch=09.ckpt,1110,2.0220205783843994
esm-cath-arch-1.25_12971778,9,cath_architecture_code,1.25,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-arch-1.25_12971778/checkpoints/regular_checkpoints/epoch=09.ckpt,160,1.3050731420516968
esm-cath-arch-1.20_12971756,14,cath_architecture_code,1.20,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-arch-1.20_12971756/checkpoints/regular_checkpoints/epoch=14.ckpt,915,1.2483242750167847
esm-cath-arch-2.30_12971784,19,cath_architecture_code,2.30,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-arch-2.30_12971784/checkpoints/regular_checkpoints/epoch=19.ckpt,420,1.0515656471252441
esm-cath-arch-2.40_12971790,14,cath_architecture_code,2.40,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-arch-2.40_12971790/checkpoints/regular_checkpoints/epoch=14.ckpt,570,1.0985338687896729
esm-cath-arch-2.60_12971794,9,cath_architecture_code,2.60,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-arch-2.60_12971794/checkpoints/regular_checkpoints/epoch=09.ckpt,750,1.7094674110412598
esm-cath-arch-3.30_12971796,9,cath_architecture_code,3.30,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-arch-3.30_12971796/checkpoints/regular_checkpoints/epoch=09.ckpt,1220,1.67753267288208
esm-cath-arch-3.40_12971797,9,cath_architecture_code,3.40,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-arch-3.40_12971797/checkpoints/regular_checkpoints/epoch=09.ckpt,1550,2.178295135498047
esm-cath-arch-3.90_12971799,9,cath_architecture_code,3.90,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-arch-3.90_12971799/checkpoints/regular_checkpoints/epoch=09.ckpt,410,1.4114787578582764
esm-cath-topo-1.10.10_12953685,19,cath_topology_code,1.10.10,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-1.10.10_12953685/checkpoints/regular_checkpoints/epoch=19.ckpt,320,1.5112053155899048
