run_name,epoch,category,target,checkpoint_path,global_step,sparsity
esm-cath-topo-1.10.287_12953706,19,cath_topology_code,1.10.287,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-1.10.287_12953706/checkpoints/regular_checkpoints/epoch=19.ckpt,180,1.3702110052108765
esm-cath-topo-1.20.58_12953710,19,cath_topology_code,1.20.58,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-1.20.58_12953710/checkpoints/regular_checkpoints/epoch=19.ckpt,240,1.4099074602127075
esm-cath-topo-1.20.120_12953713,19,cath_topology_code,1.20.120,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-1.20.120_12953713/checkpoints/regular_checkpoints/epoch=19.ckpt,200,1.3818060159683228
esm-cath-topo-1.25.40_12953716,14,cath_topology_code,1.25.40,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-1.25.40_12953716/checkpoints/regular_checkpoints/epoch=14.ckpt,195,1.3429070711135864
esm-cath-topo-2.40.50_12953717,14,cath_topology_code,2.40.50,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-2.40.50_12953717/checkpoints/regular_checkpoints/epoch=14.ckpt,180,1.35529363155365
esm-cath-topo-2.60.40_12953719,9,cath_topology_code,2.60.40,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-2.60.40_12953719/checkpoints/regular_checkpoints/epoch=09.ckpt,450,1.5221822261810303
esm-cath-topo-2.60.120_12953723,9,cath_topology_code,2.60.120,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-2.60.120_12953723/checkpoints/regular_checkpoints/epoch=09.ckpt,250,1.3704373836517334
esm-cath-topo-3.30.70_12953728,14,cath_topology_code,3.30.70,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-3.30.70_12953728/checkpoints/regular_checkpoints/epoch=14.ckpt,375,1.5216952562332153
esm-cath-topo-3.40.50_12970641,9,cath_topology_code,3.40.50,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-topo-3.40.50_12970641/checkpoints/regular_checkpoints/epoch=09.ckpt,960,1.796866774559021
esm-cath-hsuperfam-3.40.50.300_12949126,9,cath_homologous_superfamily_code,3.40.50.300,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-3.40.50.300_12949126/checkpoints/regular_checkpoints/epoch=09.ckpt,140,1.2956916093826294
esm-cath-hsuperfam-2.60.40.10_12953595,14,cath_homologous_superfamily_code,2.60.40.10,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-2.60.40.10_12953595/checkpoints/regular_checkpoints/epoch=14.ckpt,210,1.037361979484558
esm-cath-hsuperfam-3.40.50.720_12949095,14,cath_homologous_superfamily_code,3.40.50.720,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-3.40.50.720_12949095/checkpoints/regular_checkpoints/epoch=14.ckpt,165,1.3215328454971313
esm-cath-hsuperfam-1.10.10.10_12943731,14,cath_homologous_superfamily_code,1.10.10.10,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-1.10.10.10_12943731/checkpoints/regular_checkpoints/epoch=14.ckpt,75,1.260492205619812
esm-cath-hsuperfam-3.20.20.80_12943787,9,cath_homologous_superfamily_code,3.20.20.80,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-3.20.20.80_12943787/checkpoints/regular_checkpoints/epoch=09.ckpt,90,1.2587668895721436
esm-cath-hsuperfam-3.40.190.10_12949029,14,cath_homologous_superfamily_code,3.40.190.10,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-3.40.190.10_12949029/checkpoints/regular_checkpoints/epoch=14.ckpt,105,1.2921128273010254
esm-cath-hsuperfam-3.40.50.150_12943802,19,cath_homologous_superfamily_code,3.40.50.150,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-3.40.50.150_12943802/checkpoints/regular_checkpoints/epoch=19.ckpt,120,1.3111636638641357
esm-cath-hsuperfam-3.40.50.1820_12949049,14,cath_homologous_superfamily_code,3.40.50.1820,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-3.40.50.1820_12949049/checkpoints/regular_checkpoints/epoch=14.ckpt,90,1.2697303295135498
esm-cath-hsuperfam-2.40.50.140_12943755,39,cath_homologous_superfamily_code,2.40.50.140,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-2.40.50.140_12943755/checkpoints/regular_checkpoints/epoch=39.ckpt,120,1.3768346309661865
esm-cath-hsuperfam-3.40.30.10_12943788,19,cath_homologous_superfamily_code,3.40.30.10,/users/rvinod/data/rvinod/repos/plm_subnetworks/runs/esm-cath-hsuperfam-3.40.30.10_12943788/checkpoints/regular_checkpoints/epoch=19.ckpt,120,1.3193997144699097
